,Correlation,Abs Correlation,Correlation (%)
RRInterval,0.7165916239878513,0.7165916239878513,71.65916239878513
PPInterval,0.7139718301282681,0.7139718301282681,71.39718301282682
QTInterval,0.5934676443514827,0.5934676443514827,59.346764435148266
Race,-0.4303737038491613,0.4303737038491613,43.03737038491613
QRSDuration,0.34424169189822773,0.34424169189822773,34.42416918982277
DiaBP,0.2930292720754413,0.2930292720754413,29.302927207544133
VentricularRate,-0.2862475289985818,0.2862475289985818,28.62475289985818
MAP,0.2711889226661652,0.2711889226661652,27.118892266616516
QTCInterval,0.2703193445768985,0.2703193445768985,27.03193445768985
Age,0.26351177501344686,0.26351177501344686,26.351177501344687
SysBP,0.2253833858805001,0.2253833858805001,22.53833858805001
Height,0.16006447328490828,0.16006447328490828,16.00644732849083
PQInterval,0.15273186899746946,0.15273186899746946,15.273186899746946
Weight,0.10534188747818227,0.10534188747818227,10.534188747818227
BMI,-0.008426635578355646,0.008426635578355646,0.8426635578355647
I,,,
II,,,
aVL,,,
aVF,,,
